Date,Dist,Duration,Pace,Speed,Shorts,Shirrt,Notes
"Wednesday, October 1, 2014",,,,,,,
"Thursday, October 2, 2014",3.96,21.73333333,5:29,10.93,Black,Eng,
"Friday, October 3, 2014",,,,,,,
"Saturday, October 4, 2014",,,,,,,
"Sunday, October 5, 2014",,,,,,,
"Monday, October 6, 2014",1.77,8.5,4:49,12.45,Blue,Billabong,
"Tuesday, October 7, 2014",,,,,,,
"Wednesday, October 8, 2014",,,,,,,
"Thursday, October 9, 2014",,,,,,,
"Friday, October 10, 2014",,,,,,,
"Saturday, October 11, 2014",,,,,,,
"Sunday, October 12, 2014",,,,,,,
"Monday, October 13, 2014",,,,,,,
"Tuesday, October 14, 2014",,,,,,,
"Wednesday, October 15, 2014",,,,,,,
"Thursday, October 16, 2014",,,,,,,
"Friday, October 17, 2014",,,,,,,
"Saturday, October 18, 2014",,,,,,,
"Sunday, October 19, 2014",,,,,,,
"Monday, October 20, 2014",,,,,,,
"Tuesday, October 21, 2014",,,,,,,
"Wednesday, October 22, 2014",,,,,,,
"Thursday, October 23, 2014",,,,,,,
"Friday, October 24, 2014",,,,,,,
"Saturday, October 25, 2014",,,,,,,
"Sunday, October 26, 2014",,,,,,,
"Monday, October 27, 2014",,,,,,,
"Tuesday, October 28, 2014",,,,,,,
"Wednesday, October 29, 2014",,,,,,,
"Thursday, October 30, 2014",,,,,,,
"Friday, October 31, 2014",,,,,,,
"Saturday, November 1, 2014",,,,,,,
"Sunday, November 2, 2014",,,,,,,
"Monday, November 3, 2014",,,,,,,
"Tuesday, November 4, 2014",,,,,,,
"Wednesday, November 5, 2014",,,,,,,
"Thursday, November 6, 2014",,,,,,,
"Friday, November 7, 2014",,,,,,,
"Saturday, November 8, 2014",,,,,,,
"Sunday, November 9, 2014",,,,,,,
"Monday, November 10, 2014",,,,,,,
"Tuesday, November 11, 2014",4.17,22.9,5:29,10.93,Black,AE,
"Wednesday, November 12, 2014",,,,,,,
"Thursday, November 13, 2014",,,,,,,
"Friday, November 14, 2014",,,,,,,
"Saturday, November 15, 2014",,,,,,,
"Sunday, November 16, 2014",,,,,,,
"Monday, November 17, 2014",,,,,,,
"Tuesday, November 18, 2014",,,,,,,
"Wednesday, November 19, 2014",,,,,,,
"Thursday, November 20, 2014",,,,,,,
"Friday, November 21, 2014",,,,,,,
"Saturday, November 22, 2014",,,,,,,
"Sunday, November 23, 2014",,,,,,,
"Monday, November 24, 2014",,,,,,,
"Tuesday, November 25, 2014",,,,,,,
"Wednesday, November 26, 2014",,,,,,,
"Thursday, November 27, 2014",,,,,,,
"Friday, November 28, 2014",,,,,,,
"Saturday, November 29, 2014",,,,,,,
"Sunday, November 30, 2014",,,,,,,
"Monday, December 1, 2014",,,,,,,
"Tuesday, December 2, 2014",,,,,,,
"Wednesday, December 3, 2014",,,,,,,
"Thursday, December 4, 2014",,,,,,,
"Friday, December 5, 2014",,,,,,,
"Saturday, December 6, 2014",,,,,,,
"Sunday, December 7, 2014",,,,,,,
"Monday, December 8, 2014",,,,,,,
"Tuesday, December 9, 2014",,,,,,,
"Wednesday, December 10, 2014",,,,,,,
"Thursday, December 11, 2014",,,,,,,
"Friday, December 12, 2014",,,,,,,
"Saturday, December 13, 2014",,,,,,,
"Sunday, December 14, 2014",,,,,,,
"Monday, December 15, 2014",,,,,,,
"Tuesday, December 16, 2014",,,,,,,
"Wednesday, December 17, 2014",,,,,,,
"Thursday, December 18, 2014",,,,,,,
"Friday, December 19, 2014",,,,,,,
"Saturday, December 20, 2014",,,,,,,
"Sunday, December 21, 2014",,,,,,,
"Monday, December 22, 2014",,,,,,,
"Tuesday, December 23, 2014",,,,,,,
"Wednesday, December 24, 2014",4.1,23.7,5:47,10.38,Pants,Bounds of Music,
"Thursday, December 25, 2014",,,,,,,
"Friday, December 26, 2014",3.97,22.6,5:41,10.56,Pants,Bounds of Music,
"Saturday, December 27, 2014",,,,,,,
"Sunday, December 28, 2014",,,,,,,
"Monday, December 29, 2014",,,,,,,
"Tuesday, December 30, 2014",,,,,,,
"Wednesday, December 31, 2014",,,,,,,
